Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-207.3308	136.16225	-21.080683	-629.20074	-49.67183	17.248228	-23.170925	-81.38508	108.91111	1000.0	5000	2.4802065	31.522205	78.028694	-414.69028	-4.852505	36.730118	63.097131967544556
2	-187.77399	113.33113	-31.888447	-424.15173	-66.62232	18.601173	-42.06792	-108.27346	104.5625	88.2	10000	32.710445	61.001453	161.16534	-567.7878	-37.040592	60.740692	89.96004700660706
3	-118.828026	104.90616	17.994528	-483.4324	-169.70944	79.026764	-54.829006	-328.9254	189.86957	382.3	15000	64.95356	63.339596	260.532	-601.3255	-68.8279	61.49812	124.06262922286987
4	-108.09043	83.61945	8.289238	-221.10596	-88.65041	34.22585	-38.72597	-158.82695	526.6667	928.8	20000	87.46834	61.99321	493.66315	-603.93945	-92.00633	94.86684	194.06739902496338
5	-258.65018	108.19308	-97.40945	-506.28912	-250.5024	75.31485	-146.60002	-365.89484	173.0	487.6	25000	162.57875	88.91966	874.17957	-397.32022	-169.68042	213.60622	240.41746997833252
6	-298.68414	123.44061	0.9257566	-568.44604	-310.9887	124.16526	-88.53878	-518.1472	248.9	142.0	30000	267.9333	180.40656	1412.0946	-387.9552	-277.277	480.9744	277.4832339286804
7	-275.3189	106.707825	-54.58224	-507.9507	-234.51926	102.727005	-66.52192	-361.54037	156.96774	381.8	35000	375.25574	271.2755	1853.9697	-483.6913	-385.16205	802.5055	314.0663139820099
8	-204.65709	137.43895	-19.559078	-535.6388	-159.30527	112.47054	-41.021496	-417.46002	464.45456	893.0	40000	495.6872	321.90695	2291.0342	-786.60815	-508.02588	1001.01605	374.3791151046753
9	-252.71053	98.86331	-70.494736	-379.95654	-178.44594	116.70321	-37.436153	-427.1535	435.6	860.7	45000	662.06995	391.401	2495.4126	-394.98492	-677.68616	1213.335	438.1380000114441
10	-134.62497	94.639656	-0.43066126	-315.32147	-110.31929	99.46651	11.248626	-340.37906	802.5	705.7	50000	833.57104	449.47852	2579.8406	-467.53238	-849.5711	1574.1123	492.47011709213257
11	-129.302	97.98528	-31.971262	-301.78833	-0.42129907	37.834167	77.882126	-51.454124	839.0	365.6	55000	977.64966	484.29596	2635.5693	-563.4199	-993.6539	1710.6797	546.3178281784058
12	-40.89958	29.13009	-12.391366	-94.38034	-98.516396	96.12425	3.248241	-291.13538	1000.0	954.7	60000	1124.2687	479.44455	2553.0625	-596.6775	-1141.089	1618.5792	626.5676000118256
13	-149.81715	152.27051	26.588518	-360.9213	-113.76255	118.04382	55.68829	-314.0426	824.3333	680.4	65000	1222.6414	439.8219	2370.1963	-508.20358	-1239.9904	1555.2933	684.6485760211945
14	-115.69414	100.776505	-1.313754	-244.37363	-82.922554	66.04627	4.1424613	-235.41197	870.2	836.4	70000	1277.2842	399.92227	2192.6704	-1080.4152	-1293.6288	1385.657	774.3940629959106
15	-85.35736	158.09839	26.470106	-431.1128	-9.65597	20.2954	40.158943	-41.777683	813.8333	930.6	75000	1281.0485	355.8842	2159.184	-1208.2104	-1296.1075	1310.7227	851.0453381538391
16	-100.86626	82.65736	4.0056477	-212.11662	-61.613594	34.426468	-3.5239818	-104.52647	530.3	831.3	80000	1255.8584	319.4399	2125.8127	-1314.7147	-1269.6554	1090.6897	943.2049291133881
17	-136.49011	149.37772	-4.724014	-414.54874	-128.82504	112.95257	-12.509582	-379.75555	790.3333	583.8	85000	1199.575	289.31125	2138.9712	-1654.5752	-1212.0157	1081.4403	1002.3493959903717
18	-100.03921	60.491776	18.217405	-172.05652	-154.88219	129.70206	-4.6306086	-381.36975	567.0	579.6	90000	1126.6932	267.06543	2254.3608	-1278.7972	-1138.0912	919.8515	1060.1950719356537
19	-61.125698	134.55566	154.37167	-330.16162	-59.908836	85.10576	36.654583	-276.70526	562.2222	964.5	95000	1056.7518	249.70981	2253.489	-723.90234	-1067.2228	972.4318	1127.2188081741333
20	-180.86333	132.58357	-35.65721	-326.15765	-131.93356	71.37664	-9.765526	-264.29416	843.0	398.0	100000	987.36884	241.4418	2411.5085	-529.8018	-996.7679	817.5536	1174.1507399082184
21	-65.708466	71.91049	34.08485	-211.9676	-44.12629	119.48447	169.36035	-249.9207	558.2222	602.4	105000	912.52124	224.9347	2367.6853	-563.00494	-921.0194	722.31024	1227.0110709667206
22	-125.58454	154.94476	84.56515	-403.53137	-141.288	142.05888	-12.49578	-483.13092	459.0909	671.4	110000	835.9715	206.39122	2096.1155	-756.13904	-843.5697	636.1408	1280.0897250175476
23	-109.57586	147.91553	24.463957	-403.95523	-103.250244	114.19444	29.005354	-318.18372	713.0	638.7	115000	773.8306	190.38	1881.7328	-688.0847	-781.18207	553.4787	1330.8633542060852
24	-12.086724	40.87345	33.618214	-83.02937	-172.58907	124.155876	-19.986212	-454.6779	699.125	264.7	120000	713.86334	176.37354	1739.1272	-535.41925	-720.49194	453.08456	1376.2331340312958
25	-323.13052	164.33786	-74.40952	-737.024	-872.0799	922.4807	-40.064514	-2413.8232	377.30768	394.2	125000	655.7417	163.4772	1456.9528	-405.28842	-662.07025	394.9548	1418.6646268367767
