Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1179.8658	265.35562	-758.8656	-1714.2941	-143.10565	133.04456	-1.6125112	-361.71298	200.0	200.0	5000	-54.325462	35.41326	15.724191	-149.67328	52.61095	17.444576	31.237682104110718
2	-1309.789	191.1037	-1021.5587	-1754.4226	-502.12384	380.05023	-118.397705	-1008.337	200.0	200.0	10000	-97.33637	52.59811	55.65173	-233.09302	92.85057	59.568924	63.2896831035614
3	-245.99623	338.4613	-1.5860239	-1611.766	-132.66797	63.31358	-2.5996413	-239.6292	200.0	200.0	15000	-68.67491	74.91532	65.82852	-237.17183	64.0249	52.07828	92.46813702583313
4	-125.48866	82.728745	-0.98409337	-330.23404	-127.92122	85.604355	-1.8377844	-303.28424	200.0	200.0	20000	-32.916332	72.28196	56.540848	-237.27588	29.578457	31.294775	121.3068151473999
5	-193.17499	79.91392	-115.98552	-350.68604	-164.5502	92.21668	-0.33517513	-342.43375	200.0	200.0	25000	-22.20836	66.400276	56.311478	-218.90208	19.79553	23.218956	151.47526001930237
6	-155.50511	81.0286	-0.04199854	-310.48734	-133.90817	83.08672	-1.1904335	-250.35567	200.0	200.0	30000	-20.719318	63.01244	41.5754	-220.11761	18.835388	21.206577	180.39523005485535
7	-130.08598	92.2805	-1.3399316	-246.94057	-175.24265	76.76142	-120.837975	-354.01254	200.0	200.0	35000	-21.325615	60.53648	34.18281	-228.89409	19.779482	18.598352	210.23726797103882
8	-163.79456	89.472305	-3.0259883	-372.55338	-104.99229	49.213398	-6.635435	-133.93704	200.0	200.0	40000	-22.819857	58.13326	25.98727	-234.08919	21.476696	17.250957	240.50754809379578
9	-152.47034	103.21222	-0.7860629	-365.59717	-143.66257	68.74301	-2.2352514	-236.60854	200.0	200.0	45000	-23.499744	57.329174	18.909256	-237.35039	22.283121	15.743544	272.5327079296112
10	-147.99277	88.06449	-1.2166502	-379.21313	-127.75725	115.66394	-9.934384	-356.21042	200.0	200.0	50000	-22.906212	56.814342	16.295738	-245.29782	21.784447	16.000744	307.91840386390686
11	-122.532684	71.85106	-4.5402074	-257.9087	-121.8819	98.21865	-5.6744485	-328.5809	200.0	200.0	55000	-22.029123	55.759113	16.945951	-247.14005	21.014618	12.896567	345.45842695236206
12	-130.32024	70.618774	-1.1092529	-249.6926	-118.37118	61.70249	-10.300253	-232.45796	200.0	200.0	60000	-21.084234	54.266552	15.377803	-247.42189	20.139637	14.276434	384.3466260433197
13	-145.60431	63.376514	-7.047386	-254.83064	-111.951965	84.73333	-0.52481234	-247.98965	200.0	200.0	65000	-19.627893	52.457405	13.744437	-244.80334	18.765442	12.431513	415.50032114982605
14	-154.6328	101.841125	-0.99785024	-368.6276	-171.05855	74.87626	-5.5287514	-247.87572	200.0	200.0	70000	-19.300138	51.521	13.451968	-243.83119	18.494837	11.9631605	447.25718688964844
15	-136.55627	75.33637	-3.103022	-245.9105	-152.89041	89.97518	-0.9774876	-236.00023	200.0	200.0	75000	-18.798885	50.860703	13.845323	-249.04196	18.038921	10.623467	478.75969314575195
16	-118.01856	86.30114	-0.7870908	-253.85934	-144.59412	86.29846	-0.9425762	-243.5626	200.0	200.0	80000	-18.255203	50.296986	12.815864	-252.625	17.542194	10.166564	509.0060820579529
17	-161.23553	87.27457	-1.3458245	-345.53076	-128.4391	95.42875	-0.7715308	-240.21034	200.0	200.0	85000	-17.653036	49.05612	12.38767	-250.55869	16.979353	10.519077	538.9390358924866
18	-111.53906	64.45423	-0.7849873	-229.78598	-121.82401	88.85637	-3.646281	-244.92027	200.0	200.0	90000	-17.564169	48.265053	11.802319	-248.95702	16.951956	10.070413	569.3578481674194
19	-145.22913	97.57461	-3.4117448	-360.18137	-143.17877	78.5316	-8.160122	-325.42224	200.0	200.0	95000	-15.236409	48.704964	13.624271	-255.50131	14.480205	8.007411	608.7179999351501
20	-151.20038	66.00008	-3.0767915	-249.26866	-183.42055	94.08355	-4.1277514	-315.48175	200.0	200.0	100000	-14.075503	47.89043	12.613498	-260.63693	13.496678	9.628248	652.9680421352386
21	-142.54442	79.54308	-1.5546485	-360.20004	-180.30803	77.44294	-118.966576	-349.7176	200.0	200.0	105000	-14.830266	46.50209	11.160614	-252.188	14.306253	8.686086	686.9130210876465
22	-138.99165	77.75079	-2.335722	-335.81808	-197.65034	59.94106	-120.82226	-255.28725	200.0	200.0	110000	-15.335703	45.696026	10.271987	-257.6577	14.839941	8.181869	721.8004281520844
23	-168.1533	72.55012	-1.2266327	-254.9716	-144.51534	88.30042	-0.94645864	-248.38388	200.0	200.0	115000	-16.004753	45.41322	8.787652	-259.00784	15.526431	8.075317	753.3565919399261
24	-159.17659	74.68962	-1.3426946	-255.50714	-120.714554	52.55609	-1.5656849	-236.1247	200.0	200.0	120000	-16.33727	44.835968	7.8899794	-257.45258	15.8688345	7.022536	788.5583009719849
25	-137.70274	83.976746	-1.1420792	-259.95435	-143.55202	86.4077	-1.0717767	-240.40643	200.0	200.0	125000	-16.072315	44.857437	7.436798	-257.43024	15.57925	6.9204936	821.5968551635742
26	-140.90927	86.98707	-1.0514712	-268.72626	-140.07874	83.29061	-1.474493	-229.1913	200.0	200.0	130000	-15.235235	44.51827	12.394529	-258.45	14.779725	8.052685	852.5747301578522
27	-157.21278	99.42561	-1.7008135	-330.56192	-179.06839	81.01858	-118.037415	-371.41	200.0	200.0	135000	-14.56067	43.917423	9.190861	-256.0445	14.117178	7.1165047	882.9302990436554
28	-169.00691	82.21447	-0.9079613	-369.5753	-133.94113	62.486576	-1.6110226	-247.17027	200.0	200.0	140000	-14.195539	43.757263	9.557795	-255.19638	13.757978	6.722482	913.6548480987549
29	-128.96439	71.883156	-3.4598815	-252.36519	-180.77318	76.626816	-118.2202	-345.68042	200.0	200.0	145000	-13.784822	43.54737	14.385866	-256.58224	13.35563	6.1750736	944.9821419715881
30	-152.61877	76.42985	-2.277525	-352.9746	-134.80157	62.93027	-2.689676	-239.16081	200.0	200.0	150000	-13.350771	43.412003	9.099251	-255.1462	12.927231	5.7639203	977.0731751918793
