Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-279.61783	162.10332	-63.031517	-554.1534	92.37209	-0.29559246	0.4251437	1.1979572	-1.6104953	4000	4.768372e-10	63962.406	-0.009786345	-3483.879	1.3278489	0.01572125	0.10025	20.0	3.1303229331970215
1	-272.91162	155.69762	-43.04168	-622.89325	93.809525	-6.97571	2.5709193	6.364804	-9.79742	8000	-4.9352646e-08	59358.426	-0.014437159	-2928.3633	1.3477582	0.009807699	0.17325	79.0	5.800241947174072
2	-232.6798	139.43309	-56.983173	-525.24365	103.89474	-13.923484	0.509842	-7.2561617	-14.257364	12000	3.8146974e-09	39233.812	-0.01114624	-1035.0312	1.3594477	0.015867064	0.137	35.0	8.392436981201172
3	-217.22435	136.12616	-32.89528	-544.2421	104.27027	-16.908298	1.3226548	3.2170255	-17.237844	16000	6.9141386e-09	34510.84	-0.008189355	-857.6953	1.330047	0.015716933	0.19775	30.0	11.15057110786438
4	-205.03503	99.2043	-9.440838	-391.00098	115.97059	-19.73045	0.23519234	-15.688374	-19.862213	20000	-1.0830164e-07	27650.32	-0.008732178	-723.0156	1.3232383	0.011441441	0.129	79.0	14.30614686012268
5	-177.18503	119.95362	-34.499317	-427.38318	114.057144	-22.25991	0.09521719	-20.286356	-22.356667	24000	-8.2403425e-08	24063.266	-0.008941464	-561.541	1.310071	0.008818491	0.141	79.0	17.38358211517334
6	-164.57556	111.99734	14.968363	-433.279	120.30303	-24.490646	0.4100833	-16.145535	-24.596565	28000	-2.8371812e-08	21048.777	-0.010110886	-499.49023	1.2844675	0.01501148	0.09375	76.0	20.35037589073181
7	-136.82149	94.34778	36.744423	-362.64233	116.617645	-26.659962	0.4634571	-16.94689	-26.746561	32000	-6.7591664e-08	14165.695	-0.007952555	-309.46777	1.3213168	0.0125921145	0.05075	79.0	23.221848964691162
8	-198.20847	129.86093	-26.173439	-498.55167	140.64285	-28.419851	0.2893176	-22.149702	-28.493216	36000	3.877282e-08	27784.924	-0.012335631	-634.166	1.2766284	0.010352623	0.10025	79.0	26.178653955459595
9	-132.28894	102.22197	-13.866976	-479.91586	120.8125	-30.892664	0.22063453	-25.280283	-30.95314	40000	-5.620718e-08	14068.594	-0.011085891	-289.31543	1.3063143	0.012069513	0.08025	79.0	28.9160578250885
10	-132.73044	90.74112	-22.434332	-406.81604	133.75862	-32.64425	0.39973792	-22.495592	-32.71377	44000	-9.4532965e-08	12185.204	-0.010830595	-284.81445	1.2587976	0.009404411	0.0825	79.0	31.969067096710205
11	-97.1875	60.53748	-13.975366	-309.26297	126.6129	-34.399757	0.030225245	-33.573864	-34.428406	48000	5.3286552e-08	4377.4263	-0.010559112	-104.66504	1.2730384	0.015173153	0.25825	24.0	34.59238409996033
