Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.9654962	2.8390725	14.61369	-8.814397	15.298851	0.15708771	0.56604815	1.4287767	-1.3916682	4000	6.3180923e-09	12.929395	-0.022085829	-7.426246	5.4874845	0.015255722	0.25	6.0	3.6919329166412354
1	-1.5517079	2.7674263	15.272444	-8.252176	15.677165	-2.269167	0.8912608	1.3507931	-3.954406	8000	-5.9604646e-09	5.6416965	-0.023182252	-0.59985256	5.4698358	0.018938659	0.25125	7.0	6.477368116378784
2	-0.25371334	2.9730177	8.8936825	-5.553534	16.982979	-2.1280527	1.0724208	3.3678575	-4.309938	12000	4.863739e-08	5.333431	-0.022694783	-1.354145	5.5063457	0.020485904	0.29825	7.0	9.357749938964844
3	1.7171209	4.6514397	25.56365	-7.4703555	19.0	-1.3075597	1.411715	4.3329906	-4.913782	16000	1.168251e-08	11.219486	-0.025028316	-2.4149494	5.4967813	0.022982316	0.33875	8.0	12.231782913208008
4	5.9639587	11.895294	129.1669	-4.19239	23.874252	0.16406114	1.9331524	6.0131974	-5.1066856	20000	3.6358834e-09	117.086044	-0.018776454	-28.219887	5.506294	0.01821069	0.2995	8.0	15.20019006729126
5	8.824005	12.969843	106.34059	-3.8640249	27.321918	3.4317033	3.994917	13.071936	-6.106275	24000	2.384186e-10	91.98934	-0.022994813	-12.461746	5.477602	0.019613205	0.2445	7.0	18.477861166000366
6	11.950753	12.238978	73.70273	-19.394142	33.537815	5.756087	4.990036	16.118387	-14.522013	28000	7.629395e-09	79.45278	-0.016802927	-19.497444	5.498743	0.020034505	0.25725	8.0	21.552613019943237
7	21.035263	24.597979	149.11542	-0.2767788	43.413044	6.231594	5.899657	17.680273	-15.281693	32000	-2.1457671e-09	293.628	-0.016425457	-59.04602	5.4953384	0.01841032	0.256	8.0	24.713905811309814
8	36.872044	51.13604	233.00252	-37.577293	60.257576	10.726165	10.371721	23.96229	-23.002586	36000	2.1338463e-08	892.93713	-0.03560439	-166.63458	5.511062	0.015524522	0.18275	39.0	27.69158697128296
9	70.93627	84.622635	329.41165	-4.276397	85.934784	17.729847	14.301357	32.006073	-28.175383	40000	-5.233288e-08	1729.7302	-0.043884806	-388.22852	5.447627	0.015125837	0.22675	50.0	30.653669118881226
10	69.970055	68.37158	298.8003	3.7850964	81.083336	31.479198	12.329423	39.74057	-35.33408	44000	2.4437904e-08	1189.8135	-0.018428372	-120.95239	5.4260197	0.015434776	0.18575	12.0	33.884848833084106
11	88.636215	80.17682	267.86707	-20.85441	92.39535	31.697378	16.058092	43.730373	-37.864895	48000	-1.1205673e-08	1346.0768	-0.043685734	-173.92163	5.4296865	0.015184613	0.227	49.0	37.42291879653931
12	105.14838	102.77347	411.9599	14.39559	117.29412	31.534294	20.080564	48.201836	-33.932224	52000	4.2438508e-08	1588.2595	-0.03278271	-222.83301	5.303914	0.015300159	0.174	32.0	40.580893993377686
13	119.88831	103.98706	323.0759	-0.58000624	120.6875	38.479507	21.0855	52.585888	-31.802025	56000	7.1525574e-10	1589.7574	-0.033393838	-213.69165	5.348804	0.01548407	0.19575	27.0	44.100991010665894
14	143.14949	99.85752	328.55978	15.054444	125.96667	46.462116	19.202353	57.074593	-24.697172	60000	3.9577483e-08	1776.347	-0.04878622	-245.6991	5.2700143	0.012236254	0.251	79.0	47.11411714553833
15	173.57175	102.32645	341.9224	16.147764	135.31035	51.07111	20.329355	61.728752	-28.05081	64000	5.4836273e-09	1934.8749	-0.050557815	-253.6289	5.3094907	0.014645445	0.2665	79.0	49.95125985145569
16	139.86955	113.55219	362.6894	14.171629	128.6	50.773663	24.75873	66.12878	-37.411247	68000	-5.662441e-09	1517.082	-0.034165878	-156.40088	5.2801366	0.015230168	0.18875	29.0	52.91718292236328
17	172.23112	129.52771	418.25446	15.56751	147.38461	53.688766	24.948498	68.95963	-22.46952	72000	9.536744e-10	1641.916	-0.036094707	-220.94043	5.218524	0.015312967	0.19825	33.0	55.717483043670654
18	227.91353	148.06274	507.3857	9.614805	177.72728	58.239346	25.221218	72.26208	-21.150164	76000	-7.867813e-09	1959.2441	-0.03484188	-462.30457	5.2597537	0.015561109	0.1915	28.0	58.58318209648132
19	186.75641	106.475494	363.44	45.60027	172.95653	58.720924	29.98746	76.469284	-30.21835	80000	-5.2452087e-09	1333.6736	-0.043833688	-216.76428	5.229755	0.015220531	0.21625	47.0	61.41599488258362
20	207.21263	103.81946	351.96454	20.062218	150.38461	67.79731	23.16777	78.39989	-19.414562	84000	3.6478042e-08	1436.9315	-0.051178206	-149.057	5.221001	0.0140614435	0.263	79.0	64.65829396247864
21	197.49907	147.01842	468.93414	17.370848	171.0	62.97593	31.19962	80.723816	-26.423996	88000	3.8981437e-08	1725.466	-0.044502236	-369.81995	5.252548	0.015129342	0.26325	52.0	67.54512691497803
22	247.19867	110.343636	442.6148	49.27514	172.60869	71.708	22.586477	82.86333	-19.227974	92000	2.6941299e-08	1713.9529	-0.01836106	-439.5077	5.171028	0.015211176	0.237	10.0	70.32961511611938
23	255.5947	109.37313	538.5146	38.254395	182.80952	72.62511	25.900637	86.23291	-30.99011	96000	-1.1920929e-08	1238.164	-0.03976245	-250.99469	5.164772	0.015174463	0.225	42.0	73.15360903739929
24	204.34645	111.266365	406.25653	35.912914	159.32	70.984116	31.45726	89.656685	-20.41227	100000	-6.437302e-09	1055.1875	-0.04135206	-275.91754	5.1529155	0.015260355	0.2285	49.0	76.05282306671143
25	247.98987	114.295685	442.46274	5.279693	179.19048	77.56459	27.811073	91.48448	-16.969273	104000	-4.053116e-09	1063.7041	-0.046672393	-261.0332	5.1873345	0.014822833	0.257	79.0	78.95934009552002
