Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-304.1	73.08313	-215.20259	-421.52783	-595.5061	2.3045268	-590.5539	-598.5254	1000.0	1000.0	5000	1.8924264	2.559518	19.124866	-8.078988	1.8926727	2.5560684	18.410147	-7.729048	-0.8529922	0.09768115	190.31986284255981
2	-214.41	83.23688	-81.058624	-326.227	-678.3879	75.98327	-485.57407	-792.3097	1000.0	1000.0	10000	9.829743	6.9042907	37.039303	-9.211418	9.828671	6.903202	36.87033	-8.593832	-3.0508258	0.26229542	391.6443250179291
3	-527.82996	112.83456	-357.0115	-699.5667	-110.654884	69.229454	-32.83583	-278.72223	1000.0	1000.0	15000	17.346977	9.258245	40.06707	-9.375745	17.345646	9.255921	41.292156	-9.166826	-4.6219807	0.5236966	603.2709839344025
4	343.325	218.88828	565.64716	-62.855003	518.8871	368.6627	969.2691	-186.15163	1000.0	1000.0	20000	18.69218	10.651116	50.699467	-14.405815	18.692793	10.65157	49.748547	-15.031332	-4.745428	0.46362984	806.9116230010986
5	547.5312	460.40765	964.73926	-181.59984	141.46254	454.90536	687.5472	-431.51328	1000.0	1000.0	25000	21.361958	14.402039	68.110405	-18.701786	21.362865	14.402425	67.25376	-18.58277	-4.7472734	0.76951015	1001.2544260025024
6	-245.67883	476.62674	595.9103	-736.7402	-328.69168	34.856266	-277.66946	-391.977	1000.0	1000.0	30000	23.241117	17.357508	67.77328	-23.30207	23.239212	17.356518	68.990135	-22.981754	-4.7560225	0.9982008	1181.1974589824677
7	-327.36993	521.74384	593.94293	-937.59607	-1018.23096	249.14275	-515.17163	-1231.3683	1000.0	1000.0	35000	19.324093	16.518684	63.7032	-25.336523	19.324482	16.515915	64.34651	-25.308207	-4.054171	0.8221998	1370.6636471748352
8	-517.2426	221.14604	-302.08716	-926.22095	-419.84552	102.12717	-250.24805	-541.67883	1000.0	1000.0	40000	17.69835	22.225044	68.74123	-45.783314	17.70148	22.224264	67.80875	-46.107464	-3.447625	1.0667682	1552.3346951007843
9	256.9216	423.10422	877.89325	-220.44478	327.93704	703.44275	1737.5403	-499.60873	1000.0	1000.0	45000	20.201586	25.862265	85.97421	-48.739666	20.199984	25.861385	83.48068	-50.30856	-3.1422718	1.1321554	1738.419919013977
10	1302.6422	605.1663	1678.4459	96.42982	1290.643	989.5086	2181.3047	-427.11566	1000.0	1000.0	50000	23.408726	30.949566	95.132965	-94.88514	23.409174	30.945126	93.46047	-93.861824	-3.439452	1.4085681	1920.7998139858246
11	2019.544	306.0611	2319.1677	1471.1302	621.94904	884.9135	2384.9575	-377.28513	1000.0	1000.0	55000	33.673187	34.117718	114.14628	-83.12457	33.66947	34.11464	114.34244	-81.68178	-5.216879	1.7671422	2102.474895954132
12	931.72595	1244.7306	3113.7864	-424.9869	1212.3402	1248.7258	3194.3164	-330.5544	1000.0	1000.0	60000	43.97547	39.947617	143.93971	-75.09872	43.978592	39.945286	145.54327	-72.49836	-7.165433	2.2502632	2285.7870931625366
13	2141.993	1389.1466	3017.4983	-616.3976	190.31528	441.59302	1180.0702	-388.48972	1000.0	1000.0	65000	57.759476	48.096848	167.88182	-87.05332	57.76026	48.099903	170.89679	-85.19222	-9.11157	2.9312851	2466.71483707428
14	759.19275	1861.339	4479.994	-266.56952	300.2862	500.53094	948.9612	-335.87085	1000.0	1000.0	70000	70.10323	55.92879	198.96764	-89.70927	70.10806	55.928894	199.74734	-89.47367	-10.710183	3.5716374	2648.7182190418243
15	935.44366	1341.1381	3521.978	-189.65758	1229.0054	1533.0696	3844.2004	-673.5549	1000.0	1000.0	75000	81.002625	64.52235	216.23836	-111.25506	81.0048	64.51861	224.25351	-110.323044	-12.573728	3.8718157	2819.59056019783
16	3084.5425	1572.9333	3915.9817	-60.780006	3495.2695	1078.5457	4329.777	967.18134	1000.0	1000.0	80000	95.662895	73.75002	236.8655	-127.84908	95.65641	73.747894	238.00458	-127.36581	-15.186781	4.5152287	3005.0203869342804
17	3448.539	403.9025	3941.2527	2879.0596	4488.333	103.40451	4620.9746	4315.9385	1000.0	1000.0	85000	113.34024	77.655106	258.08368	-128.5581	113.338875	77.65085	258.27713	-130.12968	-18.786991	4.9809346	3182.5456647872925
