Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-331.06174	92.20111	-173.40178	-419.0425	1.6847594	35.65887	28.640533	-102.82586	1000.0	1000.0	5000	5.293452	4.531723	26.171276	-6.265744	5.293193	4.531586	25.949944	-6.6114683	6.2244225	4.5116324	26.3533	-11.530465	-2.2107584	2.5388942	71.54767	-14.753908	-6.470893	0.12605883	0.12738831	0.2581788	92.58334398269653
2	-280.75873	84.97799	-154.80936	-374.36572	6.879876	40.182796	69.50118	-62.671204	1000.0	1000.0	10000	23.030329	9.409893	64.65794	-5.4506135	23.030256	9.409716	64.844765	-4.9775825	24.616304	9.802742	69.619804	-2.919256	0.23398212	3.5238032	23.778385	-17.094944	-25.33685	0.3588083	0.36058417	0.71479625	173.55493688583374
3	-57.032143	297.13483	455.11395	-455.6697	477.68243	417.48462	1343.4392	22.19629	1000.0	1000.0	15000	44.490757	16.194883	90.64407	14.804912	44.49068	16.194386	88.64102	15.312461	45.65742	16.422926	87.70595	15.5953045	-0.20508707	3.6658945	28.396385	-12.89783	-46.464363	0.43135157	0.4368433	0.92878497	275.4944398403168
4	783.74866	289.99493	1111.125	341.55014	1638.8301	76.80932	1765.3457	1509.2761	1000.0	1000.0	20000	49.993183	16.23838	89.40155	16.827467	49.993435	16.238123	88.39212	16.995953	50.63987	16.198843	88.83802	17.836515	-1.4913744	2.7120125	17.637402	-14.336948	-51.332195	0.35198975	0.35067993	0.663206	382.0924849510193
5	1600.3083	374.85477	2153.5369	1103.8344	2872.3757	55.982094	2951.1838	2735.268	1000.0	1000.0	25000	59.30974	19.405989	114.68106	19.664053	59.30992	19.406342	113.568115	19.497171	59.97397	19.223347	115.1117	20.20427	-0.98509675	2.8524506	19.560207	-13.9991	-60.657013	0.5627611	0.5467643	0.92324376	492.677472114563
6	2702.9243	365.14423	3170.537	2110.9404	3546.375	99.72322	3695.7834	3369.8015	1000.0	1000.0	30000	76.23304	27.587189	153.63353	22.234676	76.23304	27.587355	153.18443	21.620743	76.93318	27.257618	151.47244	22.857965	-0.05897364	3.220748	26.826832	-13.506096	-77.70271	0.81386113	0.80568117	1.3119036	583.3437449932098
7	3402.5696	280.6187	3680.7722	2918.818	4052.089	115.2943	4258.618	3857.4326	1000.0	1000.0	35000	99.85563	39.95868	193.41008	13.178178	99.85567	39.958977	194.07817	14.53141	100.53551	39.562294	192.5405	15.5335655	0.88680243	3.586273	24.19761	-13.329256	-101.57541	1.2269584	1.2258034	1.9546511	683.89524102211
8	3832.2766	199.19044	4177.7856	3614.6194	4363.179	81.01586	4477.249	4232.488	1000.0	1000.0	40000	127.00467	53.120525	234.25002	-19.716768	127.00433	53.121216	235.29425	-20.111132	127.680176	52.647755	232.82883	-24.381891	1.797428	4.090577	34.791424	-15.399696	-128.9938	1.6527249	1.6738868	2.586167	784.6289191246033
9	4070.2202	75.67614	4162.5864	3932.899	4595.218	72.12333	4699.015	4497.0244	1000.0	1000.0	45000	155.39642	62.48536	264.50912	-28.749092	155.3964	62.485878	265.26712	-29.067472	156.029	61.857548	263.57956	-27.968647	2.312237	4.277683	32.03322	-14.334694	-157.4181	1.9503419	1.9632803	3.075248	888.4633319377899
10	4399.824	73.39776	4473.394	4267.897	4840.7705	84.665764	4947.5195	4689.8276	1000.0	1000.0	50000	182.16353	69.42448	290.42752	-29.04043	182.1639	69.42393	291.91455	-29.876257	182.72676	68.7143	288.7896	-31.110556	2.6211665	4.414546	35.67172	-12.16825	-184.1582	2.118209	2.1353111	3.3025222	976.4031858444214
11	4540.376	121.63169	4695.2793	4335.1807	4635.8467	940.3741	5098.537	1832.841	1000.0	1000.0	55000	206.25945	74.66745	313.09937	-24.486694	206.25926	74.666916	313.09848	-22.662151	206.73247	73.91136	311.9327	-24.189632	2.7816603	4.4680686	38.142307	-13.793654	-208.18431	2.2567167	2.3216355	3.4940367	1065.0655608177185
12	4538.2705	122.717865	4685.309	4339.65	4990.2803	82.06527	5112.23	4855.085	1000.0	1000.0	60000	227.53758	78.59864	331.7522	-17.149876	227.53749	78.59833	331.76132	-17.062704	227.92708	77.823845	331.21417	-17.530245	2.9554482	4.4480467	37.925262	-13.315336	-229.33307	2.5248692	2.5974655	3.862588	1155.4765560626984
13	4728.947	63.78476	4795.1743	4629.0366	4976.4263	85.268555	5130.9087	4835.278	1000.0	1000.0	65000	246.86574	80.7116	355.7822	-8.409607	246.86533	80.71083	356.14304	-10.1828985	247.18129	79.87308	353.5167	-7.182905	3.005348	4.431968	37.80853	-12.793856	-248.57498	2.613038	2.761767	4.0444655	1254.1258051395416
14	4773.782	93.59394	4911.3867	4662.616	4856.3506	196.14525	5090.0586	4486.6396	1000.0	1000.0	70000	263.43015	83.73036	372.9879	-31.167969	263.4301	83.73005	372.03818	-29.873434	263.6956	82.899445	371.4014	-28.86098	3.065135	4.4596815	44.951717	-15.246938	-265.1023	2.6625042	2.7507038	4.0061026	1347.9744229316711
15	4696.197	163.11066	4911.451	4453.6304	5180.1826	177.35738	5388.092	4713.7144	1000.0	1000.0	75000	279.12427	82.39677	381.0888	10.742848	279.12436	82.39619	381.29178	7.9831443	279.33112	81.50237	383.571	11.539177	3.0121086	4.405595	36.57221	-14.307489	-280.56836	2.7883203	2.8645198	4.152574	1441.284696817398
16	4829.241	129.06227	5053.839	4705.267	5076.839	128.00983	5292.243	4895.9473	1000.0	1000.0	80000	290.9321	83.851	393.61023	7.0899734	290.93137	83.85119	393.38843	7.070689	291.05472	83.009186	391.429	6.327537	2.952394	4.4197474	37.928783	-13.160651	-292.3069	3.0630836	3.1594677	4.478309	1530.3938229084015
17	4939.7856	45.30243	4998.9272	4892.6377	5269.7905	68.53227	5363.8022	5172.3887	1000.0	1000.0	85000	301.91092	84.436134	397.8197	1.5626428	301.91098	84.43604	398.6834	4.609296	301.98947	83.573845	398.8788	5.6501007	3.003899	4.464969	41.396683	-15.509021	-303.2324	3.1417556	3.2126727	4.470817	1624.270115852356
18	4994.4126	54.1963	5053.186	4913.0283	5109.1353	185.37244	5364.291	4683.4976	1000.0	1000.0	90000	311.89673	84.51543	410.20828	3.3982472	311.89658	84.515015	410.09802	4.91976	311.93393	83.65412	409.4166	4.633333	2.9817395	4.4501843	39.821404	-14.458275	-313.1493	3.2370622	3.3114936	4.54588	1720.2145788669586
19	3974.3875	1959.3097	5073.073	61.722355	4427.4497	1300.9205	5170.746	1146.8112	1000.0	1000.0	95000	320.54477	85.44797	418.63727	3.479446	320.54474	85.447495	415.4587	1.5399107	320.5671	84.6031	416.58386	4.1398187	2.9986978	4.478165	65.03996	-13.491184	-321.71906	3.2328024	3.288675	4.6183124	1815.305377960205
20	5102.8174	122.68034	5247.091	4887.9717	5523.8633	90.48819	5650.7095	5361.0957	1000.0	1000.0	100000	325.9379	90.3081	427.0183	-1.6691182	325.93738	90.30795	424.92917	-2.8525662	325.9192	89.51907	424.4385	-1.0626596	2.9366164	4.510559	40.26538	-13.141123	-327.10352	3.305191	3.4029148	4.7144814	1903.5878179073334
21	5079.208	169.68044	5312.758	4783.533	5541.835	132.70145	5663.5776	5209.2393	1000.0	1000.0	105000	334.39087	89.443344	429.7972	-5.179339	334.3908	89.4432	433.22806	-1.2171901	334.38287	88.592606	429.8873	-1.4436939	3.0163834	4.5570927	41.43053	-13.979059	-335.5179	3.3788195	3.4316888	4.763494	1998.8811111450195
22	5124.8843	90.90177	5219.5376	5014.5747	5570.414	87.627495	5668.0063	5406.2495	1000.0	1000.0	110000	341.2747	89.24878	439.22888	-40.246483	341.27444	89.24865	437.39886	-46.64456	341.2042	88.468315	433.33905	-2.0573092	2.9716678	4.5313497	45.825935	-13.861981	-342.3585	3.4868946	3.5823548	4.8669353	2090.3293681144714
23	5164.365	81.39804	5228.309	5013.468	5548.831	141.55876	5781.997	5308.4233	1000.0	1000.0	115000	347.75412	89.19667	441.87872	-1.1664307	347.75385	89.1964	441.113	-1.4165759	347.6699	88.37339	439.53595	-4.1158695	2.939401	4.5120206	48.980873	-15.359476	-348.77414	3.3128812	3.3610804	4.5343437	2188.488790035248
24	5257.159	91.459	5403.9087	5155.439	5631.085	71.00929	5748.799	5483.072	1000.0	1000.0	120000	353.75665	89.07504	446.00183	-2.3879278	353.75653	89.07504	446.4669	-1.6393852	353.66077	88.256035	446.61884	-0.035547495	2.970773	4.4977055	45.616753	-14.002539	-354.7916	3.294025	3.3919663	4.630586	2281.0539000034332
25	5206.16	65.37198	5320.5103	5142.29	5516.3438	77.63618	5693.1885	5424.3643	1000.0	1000.0	125000	359.31027	88.13534	448.82983	-4.9298954	359.31	88.13524	449.09317	2.8042624	359.16504	87.36416	449.12827	-4.448147	3.052506	4.5585713	41.710262	-12.754955	-360.2665	3.3382835	3.459371	4.626502	2372.1328508853912
26	5267.1353	142.72917	5510.2993	5105.721	5715.835	130.38525	5925.1655	5441.4453	1000.0	1000.0	130000	364.22382	87.987625	453.95322	6.7911873	364.22406	87.987305	451.3278	-5.9969935	364.0902	87.16462	450.1367	2.064888	3.0108418	4.508839	44.69395	-13.056099	-365.15146	3.427507	3.4757438	4.709982	2464.9103169441223
27	5369.208	107.10096	5545.6396	5225.813	5877.0996	85.75616	5993.549	5697.1523	1000.0	1000.0	135000	369.44086	86.79368	454.66675	-29.0206	369.44055	86.79399	454.3733	-3.6001492	369.26865	86.04093	452.90363	-7.3100805	2.9998195	4.4927893	50.627964	-12.868518	-370.35876	3.3054855	3.365486	4.635112	2556.461208820343
28	5423.7354	86.48428	5561.0444	5302.766	5767.62	87.18363	5878.776	5583.4863	1000.0	1000.0	140000	374.04416	87.04902	462.23044	1.5259848	374.0441	87.04868	460.82935	-28.946733	373.87662	86.25624	458.93338	-2.1448836	3.0270245	4.490366	44.453842	-15.954906	-374.93146	3.257611	3.3408046	4.560242	2652.0897250175476
29	5406.56	96.70999	5520.166	5257.4375	5844.4717	70.87786	5919.768	5729.4897	1000.0	1000.0	145000	378.25943	87.18719	471.2703	-7.998415	378.259	87.18694	474.40894	-3.685801	378.03833	86.46132	469.42535	-12.1930895	3.0241733	4.480687	43.5778	-14.075641	-379.1144	3.3592293	3.4325984	4.6390185	2748.5773129463196
30	5427.725	60.42635	5501.807	5350.9106	5985.4316	81.52331	6118.197	5851.458	1000.0	1000.0	150000	382.53043	86.358635	477.06842	2.3967721	382.53027	86.35936	475.60956	-5.3021116	382.34677	85.518715	472.8343	3.1018515	3.1161962	4.5186343	43.86149	-14.277157	-383.3909	3.2884183	3.4043179	4.5597296	2838.0639910697937
31	5432.2964	148.15291	5625.7	5246.4907	6008.0103	104.10347	6149.1597	5744.094	1000.0	1000.0	155000	386.8993	85.42509	479.7524	-8.500679	386.899	85.424706	479.66296	-18.45804	386.70135	84.64785	477.2638	-4.3426485	3.118851	4.529725	46.90756	-12.798109	-387.73865	3.290044	3.3693547	4.519489	2933.88116312027
32	5454.758	128.91331	5584.6924	5259.703	5970.89	80.40381	6077.0586	5787.985	1000.0	1000.0	160000	391.21448	84.651276	479.1718	-15.148167	391.2145	84.65091	482.75662	-62.29389	391.003	83.8572	478.58066	-47.44383	3.109877	4.4643755	46.956512	-15.192355	-392.02777	3.3614407	3.4437351	4.6171594	3023.0301909446716
33	5568.254	26.837366	5608.432	5533.0977	5686.6943	744.67267	6031.4883	3463.006	1000.0	1000.0	165000	395.42554	83.670364	483.23663	-3.6041317	395.42557	83.6702	485.4213	-6.2324357	395.1955	82.9032	480.8972	4.621218	3.098239	4.4775314	47.024925	-11.883418	-396.2023	3.2808633	3.3647258	4.392502	3119.9100370407104
34	5608.8047	91.309425	5776.218	5512.1	5858.887	84.74466	5996.4346	5713.8545	1000.0	1000.0	170000	398.91925	83.62492	485.45578	-17.476158	398.91895	83.62474	487.45203	-32.704563	398.66708	82.85913	484.4456	7.312524	3.132018	4.505437	47.850018	-12.408554	-399.66986	3.3226273	3.3420875	4.477496	3215.9432787895203
35	5553.9297	97.333244	5659.0195	5406.717	5883.13	62.888874	5966.1147	5800.546	1000.0	1000.0	175000	402.0963	83.76727	487.45724	-5.2121673	402.09637	83.76675	488.00375	-0.56736326	401.83276	83.01067	486.44547	1.5494261	3.131725	4.496065	39.24257	-14.250634	-402.83	3.3798692	3.471744	4.511614	3309.3710730075836
36	5558.2583	135.98097	5808.1655	5402.352	6094.6147	80.41609	6247.0825	5994.477	1000.0	1000.0	180000	405.6105	82.80923	491.42563	-12.990408	405.6104	82.80905	491.651	-2.6649337	405.3351	82.048256	489.17993	-6.7598705	3.1568372	4.5017886	51.86018	-12.01494	-406.3325	3.3717973	3.4179633	4.463609	3401.009464740753
37	5661.403	141.65208	5836.7207	5445.023	6113.414	46.29592	6190.05	6045.67	1000.0	1000.0	185000	408.69897	82.1688	493.11948	-62.822117	408.6984	82.169014	494.9096	-19.319511	408.4265	81.41416	491.1747	-8.883026	3.1611044	4.508165	47.263016	-13.801947	-409.39835	3.3988414	3.4462733	4.543861	3495.0014951229095
38	5576.075	139.08377	5741.803	5351.0737	6059.329	108.77023	6232.1313	5862.2124	1000.0	1000.0	190000	411.42813	82.40604	494.09427	-30.924204	411.42813	82.406	496.44595	-30.90403	411.1335	81.68069	493.35345	-9.784962	3.1341758	4.4719806	64.02941	-14.638134	-412.1065	3.4071698	3.4287581	4.5547876	3587.2685329914093
39	5630.6484	65.161354	5735.6313	5548.795	6165.3677	84.97558	6343.036	6016.2476	1000.0	1000.0	195000	414.4823	81.92674	497.2159	-1.6252	414.4822	81.926094	497.88223	-4.9407277	414.17947	81.211174	496.05927	1.1005235	3.159027	4.473336	46.64358	-13.380194	-415.14764	3.3541422	3.4165602	4.4631443	3683.7752561569214
40	5686.212	129.56142	5894.2183	5512.93	5965.708	63.986664	6060.227	5876.5195	1000.0	1000.0	200000	417.32202	81.54477	500.4494	-17.957718	417.32205	81.544586	499.9553	-51.440273	417.0143	80.79634	500.46622	-3.0928257	3.1682847	4.4696474	58.957226	-13.636747	-417.9744	3.4219356	3.4823422	4.5274854	3779.997531890869
41	5802.366	96.755104	5919.362	5642.5337	6159.532	76.222115	6258.745	5994.985	1000.0	1000.0	205000	419.62292	82.1331	510.63657	-51.837246	419.62265	82.13292	512.78	-39.10032	419.30087	81.44025	511.69598	-44.343346	3.164464	4.4859967	42.999153	-16.793407	-420.3045	3.5645864	3.6364172	4.681714	3869.196100950241
