Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-221.07773	51.24718	-131.62187	-289.33185	-262.6878	45.75609	-184.68492	-334.7332	1000.0	1000.0	5000	1.24841	2.5589435	16.357924	-4.5778785	1.2479352	2.5598786	16.96147	-4.7356014	-2.135503	0.31708378	72.03802514076233
2	-291.82748	25.96471	-250.48859	-327.93784	-434.00015	105.73617	-165.48564	-541.53906	1000.0	1000.0	10000	11.921454	7.113497	39.970783	-3.909998	11.921485	7.1134872	37.838238	-4.017813	-14.215027	1.2490492	145.1186330318451
3	-417.3366	159.69305	-178.42795	-680.11	-163.51367	133.50624	34.727875	-444.78024	1000.0	1000.0	15000	22.679602	8.705224	51.795555	-0.6685435	22.680716	8.703039	51.328182	-1.7367764	-24.397003	2.6222422	215.00006413459778
4	76.84808	350.82968	495.06226	-469.22775	-20.274796	147.88211	323.30817	-193.90485	1000.0	1000.0	20000	23.00307	12.178261	70.41705	1.2895875	23.003242	12.178781	71.03279	0.3525551	-24.154852	2.3659563	292.7388050556183
5	1041.3899	760.12616	2055.1443	195.73917	1789.609	261.6289	2108.3838	1069.2526	1000.0	1000.0	25000	25.042763	18.145344	94.65566	-1.744372	25.04262	18.146189	94.36937	-3.3361254	-26.272732	3.4447777	380.42350697517395
6	2337.5283	443.49652	3102.209	1923.5803	3143.9097	89.66645	3354.9526	3042.7988	1000.0	1000.0	30000	37.85895	28.13405	129.73466	-3.2144694	37.859386	28.133905	129.24223	-3.1832728	-39.481827	5.7177725	465.36910796165466
7	3425.218	331.72958	4001.0127	3098.6008	4073.5286	142.25217	4287.049	3802.059	1000.0	1000.0	35000	57.770016	40.12463	157.36356	-4.5144258	57.77089	40.12442	157.67534	-4.5064836	-59.699276	8.3589735	551.4240479469299
8	3954.741	183.9992	4280.634	3732.5884	4325.5796	95.11423	4434.839	4098.2065	1000.0	1000.0	40000	82.20292	52.254803	195.38994	-3.601015	82.202805	52.255688	190.95908	-4.498161	-84.49744	10.2149315	630.7568168640137
9	4228.907	119.440125	4381.6255	4030.3542	4488.738	112.46667	4717.348	4290.4717	1000.0	1000.0	45000	108.071045	62.655678	219.09286	-0.12371266	108.07122	62.65676	219.51189	-0.46661842	-110.514725	11.708691	713.4777820110321
10	4460.555	140.92662	4621.153	4288.0527	4784.812	58.13967	4856.6846	4672.3955	1000.0	1000.0	50000	134.12585	71.73723	248.28934	1.2354091	134.12582	71.738	251.19167	-2.4310575	-136.53925	13.388018	794.2287950515747
11	4743.004	308.6177	5018.721	4274.705	5213.832	85.36544	5310.596	5017.616	1000.0	1000.0	55000	159.82143	80.037315	282.6069	2.9275503	159.82178	80.03741	278.61862	-0.1147567	-162.57219	15.582516	875.4913680553436
12	4951.361	59.635223	5019.139	4853.538	5340.0005	118.249504	5510.848	5122.5947	1000.0	1000.0	60000	185.09956	87.728226	304.3523	2.549402	185.09944	87.728714	303.9385	1.6024303	-187.58786	17.634407	954.3855681419373
13	5046.3228	175.64946	5210.4316	4716.8994	5372.046	79.44547	5490.674	5248.6123	1000.0	1000.0	65000	208.62791	93.529045	324.3962	6.918718	208.62744	93.530365	323.73734	5.1993113	-211.32805	19.212069	1033.465674161911
14	5132.053	209.15614	5364.1187	4803.64	5333.609	199.11919	5642.487	5061.137	1000.0	1000.0	70000	230.17178	98.4035	346.42142	4.805573	230.17174	98.40469	347.57687	0.063332796	-232.96193	20.24195	1105.5440850257874
15	5094.4907	147.11362	5243.4795	4828.1377	5373.213	110.08251	5534.5366	5174.626	1000.0	1000.0	75000	250.25763	102.3501	365.53088	4.1520967	250.2578	102.35048	367.7706	8.422578	-252.91914	21.049637	1182.5103929042816
16	5234.5327	76.652405	5364.1436	5161.456	5468.201	77.67561	5610.0684	5379.8467	1000.0	1000.0	80000	268.7564	105.258896	381.828	9.896809	268.75632	105.25959	380.21893	9.986993	-271.40964	21.824762	1258.947730064392
17	5347.3726	134.91663	5519.1616	5125.063	5751.8213	80.5016	5853.453	5598.074	1000.0	1000.0	85000	286.42554	106.300385	403.4833	4.377636	286.42563	106.30083	403.63098	5.488396	-289.09262	21.73177	1337.6668128967285
18	5499.787	335.14874	5822.0137	4878.519	4540.4014	1655.5975	6398.1953	1689.1038	1000.0	1000.0	90000	303.62396	106.49533	421.50653	19.912975	303.62424	106.49498	418.73868	20.426027	-306.49414	23.224922	1418.6581299304962
19	4962.1016	1600.4481	5896.145	1766.7538	5640.188	333.8446	6272.0034	5254.1206	1000.0	1000.0	95000	317.1727	110.07214	442.39172	21.922218	317.17258	110.07205	441.505	4.48156	-319.9658	26.908728	1501.7486050128937
20	5224.742	1099.8337	6052.4473	3068.8596	6597.3896	171.61378	6855.674	6357.977	1000.0	1000.0	100000	330.70206	115.166664	458.62277	10.328659	330.70145	115.16873	457.57416	6.636099	-332.8067	30.243187	1576.0249888896942
21	6144.9956	201.60126	6505.3574	5930.665	6674.426	112.068695	6848.376	6490.523	1000.0	1000.0	105000	343.50775	120.279785	476.2437	-6.55933	343.5068	120.28378	478.11737	-14.016624	-346.60638	30.806915	1655.3929979801178
22	6044.5625	294.18307	6612.969	5768.821	6209.824	982.0942	7003.079	3446.7454	1000.0	1000.0	110000	356.9134	124.64965	497.61823	-33.70567	356.9124	124.653114	498.0358	-27.920269	-359.3312	33.352264	1737.9129328727722
23	5697.3345	1014.88043	6357.745	3704.0461	6864.1226	81.65037	6993.4497	6751.1123	1000.0	1000.0	115000	369.0901	129.03893	515.18317	-35.035095	369.08844	129.04411	517.015	-35.56809	-371.6693	37.551975	1813.6439068317413
24	6230.1055	176.78392	6492.302	5937.6196	6105.0044	1178.247	6806.7026	2676.9443	1000.0	1000.0	120000	380.43277	133.66739	521.62354	-72.907776	380.4309	133.6727	522.7838	-77.09486	-382.83786	42.10095	1895.0211749076843
25	6282.5503	376.1377	6668.6143	5790.6494	6363.327	244.77002	6693.1406	5718.8374	1000.0	1000.0	125000	391.919	136.05658	533.89374	-92.672295	391.9177	136.06137	534.7179	-107.998695	-394.3488	42.608643	1973.5855231285095
26	6324.794	391.53983	6565.114	5543.5513	4868.8857	1496.9523	6204.582	1534.7472	1000.0	1000.0	130000	402.26266	138.75789	544.31085	-105.57925	402.2611	138.7643	544.9742	-134.2213	-404.7285	40.250195	2050.72682595253
27	6422.1377	181.11267	6616.268	6081.0493	7191.2866	82.60788	7357.7007	7085.9043	1000.0	1000.0	135000	413.15323	140.9293	553.4675	-113.20189	413.15152	140.9351	554.38763	-133.91397	-415.74435	41.351276	2121.468825817108
28	6545.6875	99.83486	6694.9365	6433.589	6961.017	82.51905	7103.228	6840.9863	1000.0	1000.0	140000	422.76007	143.2589	561.7962	-103.995445	422.7584	143.26321	560.01373	-100.494255	-425.36505	40.42096	2203.849314928055
29	5636.4985	1187.6752	6717.3164	3349.8865	6587.907	146.44356	6849.476	6303.842	1000.0	1000.0	145000	431.83597	145.25238	568.92615	-123.308784	431.83527	145.25616	568.90894	-108.68926	-434.0449	42.052948	2281.516781806946
30	6525.294	176.35342	6714.5806	6215.738	7093.956	103.98026	7295.2183	6890.03	1000.0	1000.0	150000	438.64716	148.05212	574.6613	-147.48811	438.64642	148.05466	574.92145	-139.9722	-440.96594	42.239857	2360.7812719345093
31	6652.9717	105.20064	6845.875	6543.7393	6957.5366	112.688156	7140.4346	6752.547	1000.0	1000.0	155000	447.1206	148.46129	581.81854	-123.191696	447.11966	148.46533	581.5753	-164.43407	-449.9434	42.49302	2443.0043659210205
32	6659.9478	185.64847	6994.88	6470.3745	6942.2705	106.960045	7127.6924	6755.2515	1000.0	1000.0	160000	454.76022	149.06271	585.99365	-144.24051	454.75937	149.06671	587.881	-132.5625	-457.1492	39.097095	2517.7444009780884
33	6667.4463	152.05725	6923.2227	6497.454	7032.3022	84.17314	7207.8276	6917.1636	1000.0	1000.0	165000	462.3018	149.50038	594.7925	-86.20101	462.30124	149.50317	593.1848	-96.64154	-464.58594	40.1778	2592.246635198593
34	6833.319	86.04148	6961.033	6712.2837	7085.911	73.05369	7211.2837	6988.4316	1000.0	1000.0	170000	468.9093	150.61507	603.33453	-258.10822	468.90918	150.61646	602.2819	-236.15147	-471.3585	41.398815	2671.5654900074005
35	6695.5093	244.90164	7026.8496	6319.295	6774.8804	60.307102	6860.413	6666.3105	1000.0	1000.0	175000	475.69785	150.45822	612.8836	-205.91473	475.69736	150.46126	616.6	-150.62234	-478.06454	40.58266	2752.2567410469055
36	6792.413	185.03642	7047.291	6566.4067	7308.3306	107.43046	7497.905	7179.3936	1000.0	1000.0	180000	482.25223	149.81476	618.25385	-126.11541	482.25162	149.81831	619.9733	-127.12993	-484.42645	39.087433	2830.383101940155
37	6887.5454	141.2062	7055.5957	6715.856	7371.1226	69.11256	7459.402	7222.2437	1000.0	1000.0	185000	488.58737	149.24434	623.0368	-103.063705	488.58722	149.2476	622.6567	-131.03107	-490.93915	38.449825	2913.7210681438446
38	6891.4985	164.13492	7156.331	6666.3804	7270.714	101.108604	7534.671	7198.089	1000.0	1000.0	190000	494.3424	149.13197	626.86053	-92.47252	494.34192	149.1337	629.78455	-90.08044	-496.7074	39.047604	2993.4882090091705
39	6850.1875	80.78417	6980.6963	6747.114	7435.5186	72.4236	7573.685	7319.542	1000.0	1000.0	195000	499.90778	148.5031	632.0589	-72.92217	499.90756	148.50539	632.3499	-74.409836	-502.277	36.950436	3067.5877599716187
40	6643.329	282.48666	6955.332	6203.6797	7387.218	139.70883	7568.6816	7189.806	1000.0	1000.0	200000	504.88522	148.22948	632.53064	-176.54889	504.8846	148.23213	633.45935	-161.3403	-506.9142	36.623936	3147.0813179016113
41	6823.9814	202.42097	7110.914	6596.002	7448.216	61.54261	7540.092	7346.0713	1000.0	1000.0	205000	509.84805	147.19524	638.31885	-137.19003	509.84793	147.19707	638.67346	-139.1997	-512.0786	36.759693	3228.267418861389
42	6930.6157	297.76254	7147.8174	6346.6265	7456.9087	127.82073	7651.932	7212.9463	1000.0	1000.0	210000	514.56525	146.74702	639.1407	-115.65563	514.56464	146.74947	640.2815	-113.43363	-516.7538	37.833694	3309.4835867881775
43	6924.461	150.42125	7109.6157	6664.2124	7636.6826	72.66269	7775.016	7518.43	1000.0	1000.0	215000	519.3843	145.43839	648.2738	-135.5287	519.38385	145.4399	644.3121	-123.68551	-521.4139	37.426704	3388.6922929286957
44	7053.7485	162.57983	7371.5093	6920.0913	7625.878	53.55624	7698.8164	7527.226	1000.0	1000.0	220000	523.6372	145.13799	648.54126	-131.57169	523.6374	145.14078	646.50055	-199.53821	-525.73254	37.53021	3470.4272758960724
45	6919.147	175.78407	7126.0713	6667.3438	7350.169	90.09364	7459.496	7178.9688	1000.0	1000.0	225000	527.75024	144.61815	648.3016	-70.81232	527.7498	144.6197	648.4066	-83.86545	-529.9047	36.34945	3546.1895689964294
46	7044.1963	64.91544	7141.4263	6948.031	7558.854	93.416435	7742.643	7451.009	1000.0	1000.0	230000	531.55273	143.9185	650.9647	-99.218765	531.5528	143.92023	651.95734	-87.81777	-533.8886	36.226562	3622.483519077301
47	7013.345	199.84166	7202.3955	6634.5386	7569.2905	90.92289	7720.431	7443.4346	1000.0	1000.0	235000	535.24146	143.60973	651.8497	-99.54378	535.24066	143.61263	653.9064	-122.209335	-537.15564	36.759956	3704.559037923813
48	7020.9375	220.95256	7220.5127	6739.4023	7427.7876	54.139404	7525.01	7341.4155	1000.0	1000.0	240000	538.90546	143.07169	655.5384	-146.34122	538.9052	143.0731	658.22565	-86.2696	-540.9453	35.41952	3783.9810671806335
49	7097.797	129.10593	7331.3906	6983.9478	7380.6904	81.94458	7549.7505	7274.246	1000.0	1000.0	245000	542.515	142.57806	661.1865	-105.88826	542.51465	142.5809	659.0026	-110.06893	-544.4891	35.486584	3866.099723815918
50	7036.5054	88.30195	7200.8823	6939.705	7373.835	75.74748	7474.9126	7235.0083	1000.0	1000.0	250000	546.2449	141.90378	660.57697	-68.88183	546.2446	141.90607	662.3257	-73.43048	-548.2358	34.637814	3945.9379160404205
51	6924.8633	120.42189	7028.1377	6702.744	7417.181	100.843506	7538.6045	7199.052	1000.0	1000.0	255000	549.16693	141.88034	660.83093	-83.92918	549.16705	141.8811	662.0027	-102.403435	-550.8591	34.68052	4028.0626378059387
52	6907.9375	376.28152	7290.108	6186.3022	7341.62	75.17709	7467.3174	7238.7803	1000.0	1000.0	260000	552.45746	141.44366	664.35754	-123.02759	552.4571	141.44499	665.73303	-93.568344	-554.1913	34.01736	4101.65553689003
53	7086.436	60.04096	7170.552	7018.407	7280.8633	111.03833	7457.05	7058.073	1000.0	1000.0	265000	555.8428	141.08081	670.2083	-118.58436	555.84204	141.08295	668.67865	-168.92888	-557.7411	35.478157	4182.501967906952
54	6972.378	226.08575	7273.259	6641.931	7564.121	102.29628	7749.785	7410.0864	1000.0	1000.0	270000	559.4186	139.83537	669.8342	-56.20933	559.4178	139.83879	672.6881	-57.915375	-561.5664	34.158695	4262.963635921478
55	6935.7554	114.114174	7134.113	6813.8364	7550.203	115.098885	7724.94	7401.63	1000.0	1000.0	275000	561.8747	139.57106	673.6259	-86.75491	561.8744	139.57254	671.6163	-75.39543	-563.8243	34.026268	4343.348757982254
56	7075.323	101.5534	7250.7085	6951.938	7607.3647	109.864784	7749.1616	7400.33	1000.0	1000.0	280000	564.7888	138.76324	675.072	-128.94968	564.7888	138.76427	675.4725	-152.3825	-566.7202	33.17871	4421.888628005981
57	7075.003	136.14676	7234.087	6830.4756	7607.611	86.70718	7716.8066	7476.7417	1000.0	1000.0	285000	567.6368	137.95819	677.4328	-123.735176	567.63696	137.95868	677.3492	-96.77209	-569.3373	34.594257	4503.485996007919
58	7131.572	152.93088	7310.0107	6877.5894	7625.78	175.2499	7875.8916	7390.293	1000.0	1000.0	290000	569.701	138.30232	676.5955	-82.498825	569.70105	138.30359	677.8695	-69.79173	-571.3679	34.443874	4578.1863489151
59	7221.7646	105.52802	7399.303	7112.9604	7754.005	131.25746	7982.699	7580.912	1000.0	1000.0	295000	572.438	136.79718	680.7526	-69.826675	572.43726	136.79958	679.58215	-65.302795	-574.2692	34.21779	4651.303216934204
60	7231.0615	180.18492	7464.706	6912.348	7508.0874	87.05168	7663.3936	7410.5464	1000.0	1000.0	300000	574.3758	136.48373	679.3191	-78.85152	574.37573	136.48688	678.6473	-79.916176	-576.3076	33.438072	4730.873183965683
61	7301.6104	198.8569	7472.218	6951.6396	7702.673	126.483215	7905.726	7508.289	1000.0	1000.0	305000	576.5492	135.93025	685.27594	-73.73092	576.5487	135.93192	683.6031	-94.5644	-578.6594	33.45887	4806.487555980682
62	7288.251	96.85413	7438.484	7146.5796	7742.8164	100.69139	7925.09	7585.787	1000.0	1000.0	310000	579.23926	134.80309	687.17896	-93.513306	579.2388	134.80473	686.7379	-80.79116	-581.2355	32.733345	4884.794922113419
63	7241.2124	102.01104	7349.03	7085.813	7748.3867	79.16909	7906.979	7641.9116	1000.0	1000.0	315000	581.1217	134.80203	692.8163	-116.774414	581.12146	134.80312	691.2187	-110.54329	-582.74615	32.372723	4963.054477930069
64	7240.107	286.70392	7553.498	6714.3228	7802.8516	100.07527	7943.6963	7651.306	1000.0	1000.0	320000	583.3086	133.77158	691.33545	-122.78755	583.3085	133.7722	690.9707	-68.39738	-585.0255	32.157562	5039.418797969818
65	7329.755	117.66401	7462.88	7155.428	7774.132	97.81539	7934.892	7608.3438	1000.0	1000.0	325000	585.59766	132.6581	692.331	-62.577015	585.59753	132.65947	691.87573	-54.854607	-587.32153	31.620897	5108.395584106445
66	7307.6016	122.975204	7443.6777	7086.056	7621.9795	119.43728	7876.9756	7472.149	1000.0	1000.0	330000	587.58356	132.52689	695.0182	-84.04678	587.58386	132.52802	694.15466	-72.24707	-589.4826	31.685257	5188.019797086716
67	7320.611	172.5263	7529.731	7048.4795	7810.257	106.07972	8012.9204	7616.009	1000.0	1000.0	335000	589.7512	132.043	693.829	-74.91061	589.75073	132.04605	695.57715	-54.47487	-591.51434	31.615473	5263.898102760315
68	7314.0522	195.09367	7570.625	7066.202	7832.1836	114.117905	8056.6797	7679.037	1000.0	1000.0	340000	591.746	131.55717	698.3461	-122.53417	591.7459	131.55786	699.33685	-124.18094	-593.5102	32.4265	5342.374839782715
69	7361.9204	194.47371	7585.215	7050.879	7677.517	87.993744	7806.7676	7523.4463	1000.0	1000.0	345000	594.12354	130.86414	701.1426	-117.41513	594.1231	130.86575	699.7542	-102.517075	-595.684	32.146923	5420.762102842331
70	7259.0913	84.59828	7358.2993	7104.549	7490.228	96.075584	7670.6685	7322.2144	1000.0	1000.0	350000	596.23474	130.42155	702.06323	-82.707664	596.2342	130.42348	702.91693	-92.609474	-598.0925	32.007313	5498.995698928833
71	7234.12	167.81903	7468.9263	6968.396	7744.0264	81.94375	7892.4307	7571.096	1000.0	1000.0	355000	598.3298	129.50917	703.8937	-93.243256	598.32996	129.51035	701.8956	-85.418304	-600.1246	31.11076	5569.381098985672
72	7310.1553	144.62999	7406.3926	7024.4355	7350.9165	148.27786	7636.1357	7151.2236	1000.0	1000.0	360000	599.71814	130.16891	704.312	-102.281044	599.71783	130.17094	702.9115	-101.54677	-601.4391	31.506863	5647.23890209198
73	7160.147	384.66318	7439.5596	6400.459	7932.521	127.17313	8096.937	7694.9146	1000.0	1000.0	365000	601.8067	128.9444	705.10614	-171.51468	601.80664	128.94626	704.10376	-158.66393	-603.6261	32.30808	5726.959167957306
74	7369.693	97.00018	7454.594	7189.1626	8026.0693	63.042526	8115.6626	7888.963	1000.0	1000.0	370000	603.43976	128.31567	705.69934	-50.591568	603.4397	128.31743	705.4756	-66.57205	-605.15765	32.027725	5805.419355869293
75	7480.893	81.79795	7575.86	7334.671	7855.697	70.83872	7988.014	7718.5386	1000.0	1000.0	375000	605.5107	127.24417	713.97516	-157.27902	605.51044	127.24564	714.7173	-118.19783	-607.0701	32.04936	5883.627103090286
76	7491.5806	108.82239	7673.2993	7330.4116	7603.957	76.4015	7752.6675	7481.0547	1000.0	1000.0	380000	606.8934	127.07522	713.79034	-131.66136	606.8936	127.076584	713.2185	-106.141754	-608.74774	31.559137	5963.611041069031
77	7400.207	141.26389	7629.88	7224.567	7921.3643	98.55401	8070.407	7719.474	1000.0	1000.0	385000	608.8921	126.53168	716.19324	-93.01849	608.89124	126.53607	716.88074	-93.21373	-610.5861	32.092773	6036.259016036987
78	7500.935	83.32889	7657.095	7416.4824	7903.0884	61.53477	8016.7144	7807.199	1000.0	1000.0	390000	610.073	126.58329	721.65045	-82.70109	610.0734	126.5823	721.2732	-96.5233	-612.09106	32.23916	6110.606927871704
79	7414.728	114.703926	7557.6587	7277.872	7625.432	98.79206	7802.809	7495.681	1000.0	1000.0	395000	611.8185	125.5887	720.3183	-99.21629	611.8187	125.58741	718.9207	-99.80519	-613.4598	31.818338	6190.042620897293
80	7528.66	95.128365	7646.6104	7373.233	7984.508	131.83191	8223.4795	7764.5586	1000.0	1000.0	400000	613.2498	125.506294	718.4414	-97.12057	613.2494	125.50974	718.8974	-97.84621	-615.1374	32.281296	6268.423830032349
81	7590.832	45.328213	7673.2534	7548.842	8041.9805	134.10844	8251.942	7773.4077	1000.0	1000.0	405000	614.88055	124.74455	722.1918	-111.2597	614.8808	124.74365	720.45746	-107.68543	-616.37195	31.631227	6345.703078985214
82	7507.8545	86.63176	7608.3765	7378.3687	8011.503	89.88681	8140.114	7855.996	1000.0	1000.0	410000	615.7054	125.5237	724.242	-59.55243	615.7057	125.52397	722.75507	-93.22438	-617.4481	31.620457	6425.712255001068
83	7552.4062	61.46641	7621.9565	7437.86	7754.544	87.98221	7933.49	7619.15	1000.0	1000.0	415000	617.4421	124.21726	721.9753	-49.229454	617.4419	124.21932	723.1744	-57.37126	-619.0759	30.850285	6498.868880987167
84	7574.335	111.31737	7669.837	7390.389	7996.306	107.9954	8156.2954	7807.488	1000.0	1000.0	420000	619.16907	123.27739	723.9998	-47.828625	619.1694	123.27768	723.38116	-53.47393	-620.9662	31.172565	6573.557312011719
85	7576.6094	59.484547	7675.314	7498.6494	7659.5	84.30438	7772.7764	7466.1753	1000.0	1000.0	425000	620.5627	123.290825	722.9685	-147.5169	620.5628	123.29018	721.30585	-165.76257	-622.2815	31.567162	6652.564444065094
86	7493.267	211.04987	7780.344	7132.4297	8044.668	121.78122	8191.6514	7757.6836	1000.0	1000.0	430000	621.8194	122.923744	725.9658	-80.90265	621.8191	122.92721	724.9303	-78.53219	-623.3288	31.748854	6731.659744024277
87	7538.8076	121.49653	7679.0557	7317.195	7937.0195	100.00544	8097.473	7802.229	1000.0	1000.0	435000	622.88104	122.94617	726.8135	-117.352684	622.8809	122.94664	726.3353	-134.77652	-624.5099	32.0847	6809.842343091965
88	7452.345	132.7641	7651.3745	7282.632	7913.0337	85.16712	8011.36	7711.734	1000.0	1000.0	440000	624.2745	122.47491	724.6611	-82.29393	624.2746	122.47498	725.0695	-75.26756	-625.8873	31.58474	6892.556282997131
89	7519.7563	233.22021	7676.2124	7058.05	8123.0625	80.87953	8237.859	7947.8525	1000.0	1000.0	445000	625.6528	121.6566	727.6292	-91.04268	625.65265	121.65707	728.27045	-85.36199	-627.48785	31.077997	6967.820900917053
90	7544.154	188.85548	7739.5415	7225.406	8003.323	90.493835	8142.8936	7833.4824	1000.0	1000.0	450000	626.69415	121.84477	729.03046	-94.13642	626.69403	121.845634	731.1692	-74.39912	-628.1724	31.419731	7040.3881821632385
91	7330.1157	274.51184	7512.3936	6789.514	8010.96	102.78881	8210.08	7812.0312	1000.0	1000.0	455000	628.10657	121.085655	728.73114	-101.9007	628.1065	121.08679	729.1216	-54.06161	-629.62714	30.267529	7118.973154783249
92	7476.8604	124.76205	7669.912	7284.149	8031.475	86.63978	8156.186	7841.0845	1000.0	1000.0	460000	629.01355	121.268	729.35254	-79.74385	629.0131	121.271286	730.7629	-71.5172	-630.4403	30.08341	7198.123784065247
93	7622.2227	84.201584	7708.681	7507.0796	7955.573	79.58321	8079.4424	7808.867	1000.0	1000.0	465000	630.04	120.75777	730.90796	-68.68555	630.0401	120.75697	730.5106	-65.73857	-631.6575	31.031744	7276.775381088257
94	7641.9634	121.53206	7824.2295	7474.548	7898.6577	164.94107	8191.6284	7592.778	1000.0	1000.0	470000	631.35626	119.77798	729.6798	-54.569057	631.35614	119.77833	729.5709	-81.77482	-632.77856	30.639593	7358.766305208206
95	7430.0312	193.84904	7736.8887	7126.5327	8129.552	141.90965	8379.092	7979.181	1000.0	1000.0	475000	632.67145	118.67367	730.20605	-99.64611	632.671	118.67642	729.4867	-82.1483	-634.2346	31.202715	7448.95924782753
96	7650.699	182.99919	7854.2837	7380.6504	8196.545	68.40797	8317.48	8054.092	1000.0	1000.0	480000	633.27106	118.887726	729.62494	-117.5221	633.27155	118.887375	730.988	-109.03476	-634.74316	31.203125	7528.083909034729
97	7556.6733	200.25252	7809.2935	7205.479	8076.8955	87.46876	8267.712	7965.7793	1000.0	1000.0	485000	634.5645	118.42534	731.8569	-154.5281	634.56433	118.42542	731.2102	-114.40853	-636.3163	30.856728	7614.651969909668
98	7510.1626	88.04224	7631.093	7403.95	8244.459	118.54966	8496.947	8021.6313	1000.0	1000.0	490000	635.176	118.30679	734.9366	-93.18429	635.1763	118.306076	735.4181	-127.2888	-636.6326	31.601078	7706.665606021881
99	7571.2446	75.78071	7677.617	7483.5938	8065.346	162.19493	8329.345	7775.5205	1000.0	1000.0	495000	636.0838	117.93619	740.9221	-105.84374	636.084	117.93567	736.83527	-126.07899	-637.6765	32.311817	7791.4848549366
