Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-273.27744	84.68692	-131.7029	-361.48218	-312.72888	28.02424	-270.21313	-354.6593	1000.0	1000.0	5000	0.4738024	2.6728835	15.182479	-10.055118	0.47372404	2.6725972	14.799081	-9.83782	-1.2609266	0.37586576	48.53328204154968
2	-374.93872	59.845913	-285.84277	-464.98288	-557.96924	17.655363	-527.9755	-591.5263	1000.0	1000.0	10000	10.93806	9.364607	46.402687	-10.553524	10.937797	9.365155	46.42064	-9.88088	-13.8445215	1.4156653	91.30933022499084
3	-432.25113	41.27777	-365.42462	-491.79233	-148.46236	119.81887	51.83891	-320.68768	1000.0	1000.0	15000	28.44972	12.005355	74.892395	-11.373591	28.4491	12.006477	75.648705	-6.609151	-31.0006	3.6379368	136.01578998565674
4	493.7107	465.3484	1366.1113	91.04505	-299.7614	178.72342	56.542786	-471.07166	1000.0	1000.0	20000	34.43364	14.646288	75.972404	-2.278417	34.43361	14.646293	76.43288	-2.770156	-36.05596	2.837057	190.01987600326538
5	549.22314	893.28876	1775.6011	-292.48035	1611.4203	557.6697	2257.6636	341.01627	1000.0	1000.0	25000	35.829224	20.216425	90.47955	-3.8925533	35.82942	20.216978	88.81183	-3.745694	-37.33645	2.9197278	247.9248549938202
6	1466.2434	585.5356	2344.9924	586.3438	1510.1906	511.63736	2317.1116	777.2452	1000.0	1000.0	30000	43.05271	27.166063	112.24103	-5.9614286	43.05268	27.16678	111.5976	-6.649947	-44.701492	4.50153	298.8717601299286
7	1726.5719	770.8456	2424.9316	745.386	2599.2585	585.543	3207.2803	925.83154	1000.0	1000.0	35000	54.322372	34.519012	131.76328	-6.811483	54.322197	34.518993	133.2696	-5.589337	-56.16046	6.054925	345.0620458126068
8	2508.3784	707.17	3202.5725	1149.0326	3015.3203	121.61383	3147.7402	2800.3718	1000.0	1000.0	40000	68.33203	42.013535	165.29025	-4.0492167	68.33199	42.013874	163.24063	-6.7003	-70.17933	7.5820765	398.6914269924164
9	3232.9648	186.39474	3513.8123	2958.612	3420.3687	170.80832	3668.6326	3041.0886	1000.0	1000.0	45000	85.43786	49.571175	184.80472	-4.020234	85.437935	49.570683	184.20204	-5.1879864	-87.514694	9.328829	451.0555818080902
10	3430.9624	150.25613	3689.7188	3296.0	3489.8027	480.24432	4047.5496	2205.2817	1000.0	1000.0	50000	104.61257	56.667564	208.16493	-4.335249	104.61308	56.66721	207.41843	-3.417023	-106.57035	12.272915	516.2030918598175
11	3604.8599	342.34393	4181.561	3245.651	4213.881	119.4609	4426.869	4042.6323	1000.0	1000.0	55000	123.74675	63.21547	232.41383	-2.4391468	123.7472	63.215546	230.99551	-3.4295838	-125.87901	15.035059	567.0045108795166
12	3775.273	698.90314	4404.311	2438.0146	4517.7383	107.74785	4706.526	4370.8667	1000.0	1000.0	60000	142.0428	70.13461	257.28662	-3.5303736	142.04305	70.13406	254.8226	-0.8801569	-144.22134	16.940199	628.5725491046906
