Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-266.20844	74.65181	-183.97816	-395.14642	-594.37555	1.3204517	-591.5781	-596.68097	1000.0	1000.0	5000	3.5814724	4.067465	24.395824	-6.485854	3.5808036	4.0685377	24.20773	-6.5474143	-5.0201545	0.5930084	73.06706595420837
2	-351.52573	89.56252	-255.9638	-515.0547	-557.2402	2.2846742	-553.52826	-559.901	1000.0	1000.0	10000	17.710175	7.220717	42.702576	-4.7412057	17.709808	7.2203913	42.04827	-4.453593	-20.373552	1.8192445	143.34119296073914
3	-318.77377	229.01567	113.796425	-520.4088	33.090973	80.08069	229.94885	-68.97662	1000.0	1000.0	15000	29.97243	5.1769595	51.19971	-1.3732537	29.972363	5.176128	49.58276	-3.7106059	-31.903994	2.0970366	216.64054203033447
4	187.54076	672.2785	1089.9688	-923.4486	1141.6104	88.0263	1340.1874	996.32837	1000.0	1000.0	20000	32.025677	5.996947	57.60279	-14.329998	32.02544	5.9969788	57.402897	-14.925074	-33.081482	2.0814312	295.68894600868225
5	1368.72	213.53339	1657.6189	1050.6992	207.36829	183.03273	516.5831	-115.00948	1000.0	1000.0	25000	36.27615	9.079304	72.32157	-1.1924887	36.276264	9.079508	73.13612	-0.889642	-37.79763	2.611515	383.5943648815155
6	-38.27184	924.2503	1592.8153	-774.78314	-415.9737	243.78404	110.14923	-632.5613	1000.0	1000.0	30000	46.502396	11.083115	87.30481	9.380155	46.502094	11.08439	86.15527	9.77057	-48.517338	4.7358904	464.70942902565
7	790.3299	1021.955	2088.4307	-652.77905	2365.0112	228.32852	2617.8135	1839.3143	1000.0	1000.0	35000	51.282677	17.030983	105.50665	-7.4404874	51.28272	17.031208	106.83481	-5.3137083	-52.60297	5.0886674	548.4210269451141
8	2407.206	170.51035	2691.653	2178.832	2483.5178	151.77052	2736.351	2201.669	1000.0	1000.0	40000	59.655037	24.866602	129.06282	-19.56887	59.655045	24.866564	129.40176	-18.102999	-61.251324	6.766275	626.8803799152374
9	2792.104	156.22685	3021.3564	2617.9475	2956.8137	785.20123	3409.435	639.1956	1000.0	1000.0	45000	73.45753	31.85537	164.06778	-21.34299	73.45739	31.855524	164.71149	-21.860584	-75.30394	9.079685	714.9606850147247
10	2822.0854	799.59784	3357.2751	1232.3625	3483.2466	70.156975	3652.731	3389.739	1000.0	1000.0	50000	89.8866	38.193996	184.73366	-37.439934	89.88681	38.193085	185.32977	-36.475693	-91.905	11.531269	790.9731240272522
11	3185.159	611.05066	3686.9941	1999.2517	3401.5183	406.817	3843.743	2391.8704	1000.0	1000.0	55000	107.681595	44.573135	206.86432	-46.198997	107.68166	44.572315	206.13965	-48.426624	-109.77905	14.305162	873.8308351039886
12	3689.6523	77.889565	3795.885	3597.4038	3690.7026	788.0255	4109.608	1345.2858	1000.0	1000.0	60000	125.64771	50.768803	225.54039	-46.026047	125.64778	50.766983	224.0008	-46.907204	-127.96775	17.271503	950.2903380393982
13	3767.3137	188.65662	3975.3218	3466.1335	3647.5645	716.216	4249.034	2221.8303	1000.0	1000.0	65000	143.89665	56.10595	251.16013	-49.021023	143.8971	56.10313	252.13487	-49.451756	-146.1839	20.282307	1023.7032730579376
14	3962.3757	233.34535	4220.6943	3548.2566	4223.2363	155.78635	4496.9326	3954.5183	1000.0	1000.0	70000	161.12955	60.399063	271.77988	-59.672592	161.13005	60.395245	270.28323	-61.196346	-163.61745	23.629637	1102.854367017746
15	4311.6426	184.98296	4515.171	4049.3572	3886.5664	500.2428	4322.3213	2501.7627	1000.0	1000.0	75000	178.2434	63.95077	287.45853	-67.942345	178.24374	63.948063	285.81894	-66.72852	-180.74515	25.734869	1181.4381680488586
16	4224.7046	280.21127	4560.1475	3868.485	4350.089	121.34356	4520.4507	4096.763	1000.0	1000.0	80000	194.79031	67.075	309.25568	-70.52429	194.7905	67.07424	307.60794	-73.254234	-197.293	29.006706	1254.846850156784
17	4476.059	143.62894	4707.5957	4315.0796	4779.4277	142.75916	5020.525	4590.929	1000.0	1000.0	85000	211.28004	69.42496	328.4008	-81.602394	211.2803	69.42361	327.53238	-81.53633	-213.85864	29.576925	1332.5196161270142
18	4918.773	306.5915	5374.3647	4571.6177	5241.245	90.80567	5322.8315	5031.0947	1000.0	1000.0	90000	227.49207	71.80027	352.9204	-88.21708	227.49219	71.80056	350.03192	-91.43983	-230.22975	31.694485	1410.0891599655151
19	5242.5547	183.24173	5578.8076	5023.518	5252.9688	156.62471	5472.3037	5004.271	1000.0	1000.0	95000	244.50258	74.96708	368.4684	-93.784645	244.50305	74.96599	369.95804	-93.479774	-247.36156	32.98834	1487.5056221485138
20	5111.3926	340.9914	5352.1265	4436.747	4946.8486	91.2416	5151.995	4775.511	1000.0	1000.0	100000	261.80453	77.800026	388.3215	-95.30824	261.80478	77.80029	386.73676	-96.84209	-264.35284	36.910194	1567.9267280101776
21	5396.0674	297.31183	5767.66	4855.1265	4821.679	226.34924	5308.607	4528.784	1000.0	1000.0	105000	278.06778	81.20826	403.91617	-94.94091	278.06796	81.20876	402.77872	-96.45862	-281.3556	38.940205	1647.59588098526
22	5466.1636	411.49054	5842.6597	4674.9985	5919.9214	103.96344	6111.138	5740.067	1000.0	1000.0	110000	293.84323	84.575584	423.8957	-93.049194	293.84393	84.5744	422.07175	-91.225685	-296.58206	42.613186	1726.3946781158447
23	5840.345	126.38452	6032.4395	5701.074	5870.4644	105.18953	6045.8564	5646.308	1000.0	1000.0	115000	309.40823	87.19035	439.2322	-103.77822	309.40823	87.19168	438.9851	-102.67094	-312.4488	42.144688	1800.793272972107
24	5842.456	208.43245	6011.3413	5524.615	6222.29	97.06071	6383.306	6076.802	1000.0	1000.0	120000	324.20383	89.64874	454.52817	-98.247185	324.20404	89.648	454.76437	-103.30098	-327.26242	43.28865	1878.5246050357819
25	6117.8467	298.79968	6389.532	5551.989	6476.3906	47.688725	6582.549	6408.203	1000.0	1000.0	125000	338.75378	92.58203	469.82724	-109.57376	338.7541	92.58136	472.7381	-113.08735	-341.69064	43.11576	1950.0163788795471
